id,emoji,description,ocurrences
1032,😄,grinning face with smiling eyes,1
1032,🤣,rolling on the floor laughing,1
1034,♟️,chess pawn,1
1035,♟️,chess pawn,1
1036,👏,clapping hands,1
1036,📸,camera with flash,1
1036,💪,flexed biceps,1
1038,♟️,chess pawn,1
1040,®,registered,1
1041,🤔,thinking face,1
1041,✅,check mark button,1
1041,🕑,two o’clock,1
1041,🎁,wrapped gift,1
1041,📅,calendar,1
1042,🌄,sunrise over mountains,1
1042,⛺,tent,1
1043,🐴,horse face,1
1043,♟️,chess pawn,2
1044,🥃,tumbler glass,1
1044,⛳,flag in hole,1
1044,♟,chess pawn,1
1049,♟️,chess pawn,2
1050,📸,camera with flash,1
1051,🤣,rolling on the floor laughing,1
1052,😅,grinning face with sweat,1
1052,♟️,chess pawn,1
1054,📸,camera with flash,1
1055,😉,winking face,2
1055,😎,smiling face with sunglasses,2
1055,☎️,telephone,1
1055,📱,mobile phone,1
1055,🤓,nerd face,2
1055,👉,backhand index pointing right,1
1055,📢,loudspeaker,2
1055,🤩,star-struck,2
1063,💀,skull,1
1063,🖤,black heart,2
1066,🎉,party popper,1
1066,📢,loudspeaker,1
1068,⚪,white circle,1
1068,🔵,blue circle,1
1068,♟️,chess pawn,4
1069,✨,sparkles,1
1069,♟️,chess pawn,2
1071,🍀,four leaf clover,3
1073,💪,flexed biceps,1
1073,👉,backhand index pointing right,2
1075,🏆,trophy,2
1075,🌟,glowing star,9
1075,🎉,party popper,4
1075,✉,envelope,1
1075,🔥,fire,1
1075,🇸🇦,flag: Saudi Arabia,1
1075,🌍,globe showing Europe-Africa,1
1079,📌,pushpin,1
1079,♟️,chess pawn,1
1081,💪,flexed biceps,1
1081,♟️,chess pawn,1
1081,🎉,party popper,1
1081,😬,grimacing face,1
1081,❤️,red heart,1
1081,😅,grinning face with sweat,1
1082,🇸🇮,flag: Slovenia,1
1083,🔥,fire,1
1083,©,copyright,2
1083,🚴‍♂️,man biking,1
1084,🏻,light skin tone,2
1084,✨,sparkles,1
1084,👉🏻,backhand index pointing right: light skin tone,1
1084,🤗,hugging face,1
1085,😜,winking face with tongue,1
1086,💠,diamond with a dot,16
1086,📍,round pushpin,1
1086,☎️,telephone,1
1089,🏻,light skin tone,1
1089,🤍,white heart,1
1089,✨,sparkles,1
1092,🎈,balloon,1
1092,✨,sparkles,1
1092,🎉,party popper,1
1092,🙌🏼,raising hands: medium-light skin tone,1
1092,❤️‍🔥,heart on fire,1
1092,🙏,folded hands,2
1092,❤️,red heart,2
1092,😭,loudly crying face,1
1093,♟️,chess pawn,1
1094,🔥,fire,1
1094,©,copyright,2
1094,🚴‍♂️,man biking,1
1095,🦴,bone,1
1096,😊,smiling face with smiling eyes,1
1096,✨,sparkles,1
1096,♟️,chess pawn,1
1097,😂,face with tears of joy,1
1099,😀,grinning face,1
1099,👐,open hands,1
1100,❤️,red heart,1
1103,💥,collision,1
1103,🔖,bookmark,1
1103,📲,mobile phone with arrow,1
1103,📥,inbox tray,1
1103,✅,check mark button,2
1103,📌,pushpin,4
1103,➕,plus,1
1103,‼️,double exclamation mark,2
1103,🤗,hugging face,2
1103,✔️,check mark,4
1103,⤵️,right arrow curving down,1
1104,💥,collision,1
1104,🔖,bookmark,1
1104,📲,mobile phone with arrow,1
1104,📥,inbox tray,1
1104,📚,books,1
1104,☎️,telephone,1
1104,✅,check mark button,2
1104,📌,pushpin,4
1104,➕,plus,1
1104,‼️,double exclamation mark,2
1104,🤗,hugging face,2
1104,✔️,check mark,4
1104,⤵️,right arrow curving down,1
1106,📲,mobile phone with arrow,1
1106,📍,round pushpin,1
1106,🚗,automobile,1
1106,🕑,two o’clock,1
1106,🎯,bullseye,1
1106,💰,money bag,1
1108,💀,skull,1
1109,🇦🇱,flag: Albania,1
1114,🥇,1st place medal,3
1116,🥇,1st place medal,3
1117,😂,face with tears of joy,1
1117,♟️,chess pawn,3
1119,♟️,chess pawn,13
1121,🇪🇦,flag: Ceuta & Melilla,1
1125,🇺🇸,flag: United States,1
1125,🌱,seedling,1
1132,😅,grinning face with sweat,1
1133,📸,camera with flash,1
1134,💨,dashing away,1
1134,🏁,chequered flag,1
1136,🔥,fire,2
1136,⚠️,warning,2
1136,🚨,police car light,3
1137,🇭🇳,flag: Honduras,1
1137,🇺🇾,flag: Uruguay,1
1137,🇦🇷,flag: Argentina,1
1137,🇬🇹,flag: Guatemala,1
1137,🇸🇻,flag: El Salvador,1
1137,🇪🇸,flag: Spain,1
1137,🇵🇦,flag: Panama,1
1137,🇳🇮,flag: Nicaragua,1
1137,🇨🇱,flag: Chile,1
1137,🇻🇪,flag: Venezuela,1
1137,🇨🇴,flag: Colombia,1
1137,🇵🇪,flag: Peru,1
1137,🇪🇨,flag: Ecuador,1
1137,🇵🇷,flag: Puerto Rico,1
1137,🏁,chequered flag,1
1137,🇵🇾,flag: Paraguay,1
1137,➡️,right arrow,1
1137,🔚,END arrow,1
1137,⏰,alarm clock,1
1137,⏱️,stopwatch,1
1137,🇧🇷,flag: Brazil,1
1137,🇲🇽,flag: Mexico,1
1137,🇧🇴,flag: Bolivia,1
1138,📸,camera with flash,1
1138,🏎️,racing car,1
1138,💨,dashing away,1
1138,🏁,chequered flag,1
1139,🇪🇸,flag: Spain,2
1141,🔥,fire,2
1141,🤯,exploding head,1
1142,📝,memo,1
1142,🇪🇸,flag: Spain,1
1142,🏁,chequered flag,1
1142,⏱️,stopwatch,1
1143,🇪🇸,flag: Spain,1
1144,👇🏻,backhand index pointing down: light skin tone,1
1144,⁉️,exclamation question mark,1
1144,🇪🇸,flag: Spain,1
1144,🏷,label,1
1146,🤷‍♂️,man shrugging,1
1148,🇪🇸,flag: Spain,1
1148,🏁,chequered flag,1
1148,⏱️,stopwatch,1
1149,👇,backhand index pointing down,1
1149,🇪🇸,flag: Spain,1
1149,🏁,chequered flag,1
1149,🏎️,racing car,2
1150,🇪🇸,flag: Spain,1
1153,😉,winking face,1
1153,🍀,four leaf clover,1
1153,☄️,comet,1
1153,✨,sparkles,1
1153,🙌,raising hands,1
1154,💥,collision,2
1154,🔷,large blue diamond,12
1154,⚠,warning,2
1154,🚫,prohibited,2
1154,🔹,small blue diamond,9
1154,🤢,nauseated face,1
1154,⛔,no entry,2
1155,🔥,fire,1
1155,ℹ️,information,1
1156,3️⃣,keycap: 3,1
1158,🎉,party popper,2
1159,🇮🇩,flag: Indonesia,1
1160,⚪,white circle,1
1160,🟠,orange circle,1
1160,⚫,black circle,1
1160,🛍️,shopping bags,1
1161,🏁,chequered flag,1
1162,🏎,racing car,1
1163,🏎,racing car,1
1163,🔸,small orange diamond,3
1164,🤔,thinking face,1
1164,📈,chart increasing,1
1164,📊,bar chart,2
1164,👇,backhand index pointing down,1
1164,🏎️,racing car,3
1164,👉,backhand index pointing right,1
1164,👈,backhand index pointing left,1
1166,🤝,handshake,1
1169,😎,smiling face with sunglasses,1
1169,😂,face with tears of joy,1
1169,🔥,fire,1
1169,🇪🇸,flag: Spain,1
1169,😅,grinning face with sweat,1
1172,🔟,keycap: 10,1
1172,👏,clapping hands,1
1173,🔟,keycap: 10,1
1173,👏,clapping hands,1
1174,⏳,hourglass not done,1
1174,✨,sparkles,2
1174,📍,round pushpin,1
1174,❤️,red heart,1
1175,🇪🇸,flag: Spain,1
1175,🇮🇹,flag: Italy,1
1185,✅,check mark button,1
1185,💥,collision,1
1185,🎧,headphone,1
1186,🔟,keycap: 10,1
1187,🇭🇳,flag: Honduras,1
1187,🇺🇾,flag: Uruguay,1
1187,🇦🇷,flag: Argentina,1
1187,🇬🇹,flag: Guatemala,1
1187,🇸🇻,flag: El Salvador,1
1187,🇪🇸,flag: Spain,1
1187,🇵🇦,flag: Panama,1
1187,🇳🇮,flag: Nicaragua,1
1187,🇨🇱,flag: Chile,1
1187,🇻🇪,flag: Venezuela,1
1187,🇨🇴,flag: Colombia,1
1187,🇵🇪,flag: Peru,1
1187,🇪🇨,flag: Ecuador,1
1187,🇵🇷,flag: Puerto Rico,1
1187,🏁,chequered flag,1
1187,🇵🇾,flag: Paraguay,1
1187,➡️,right arrow,1
1187,🔚,END arrow,1
1187,⏰,alarm clock,1
1187,⏱️,stopwatch,1
1187,🇧🇷,flag: Brazil,1
1187,🇲🇽,flag: Mexico,1
1187,🇧🇴,flag: Bolivia,1
1188,🇪🇸,flag: Spain,1
1188,😍,smiling face with heart-eyes,1
1188,🏁,chequered flag,1
1188,💚,green heart,1
1189,📝,memo,1
1189,🇪🇸,flag: Spain,1
1189,🏁,chequered flag,1
1189,⏱️,stopwatch,1
1190,👇🏻,backhand index pointing down: light skin tone,1
1190,⁉️,exclamation question mark,1
1190,🏷,label,1
1190,😳,flushed face,1
1190,🇪🇸,flag: Spain,1
1191,😉,winking face,1
1191,👀,eyes,1
1192,🦍,gorilla,1
1194,🤯,exploding head,1
1194,🇪🇦,flag: Ceuta & Melilla,1
1195,🤯,exploding head,1
1195,🇪🇦,flag: Ceuta & Melilla,1
1196,🔥,fire,1
1196,2️⃣,keycap: 2,1
1196,1️⃣,keycap: 1,1
1196,3️⃣,keycap: 3,1
1197,📸,camera with flash,1
1198,💥,collision,1
1201,✈,airplane,1
1201,🔥,fire,2
1201,👇,backhand index pointing down,1
1201,🏎️,racing car,7
1201,👉,backhand index pointing right,1
1201,🇪🇸,flag: Spain,2
1201,👈,backhand index pointing left,1
1201,😅,grinning face with sweat,1
1202,🇪🇸,flag: Spain,2
1202,☁,cloud,1
1203,🏆,trophy,2
1203,👇,backhand index pointing down,1
1204,✈,airplane,1
1204,🔥,fire,2
1204,👇,backhand index pointing down,1
1204,🏎️,racing car,7
1204,👉,backhand index pointing right,1
1204,🇪🇸,flag: Spain,2
1204,🙃,upside-down face,1
1204,👈,backhand index pointing left,1
1205,👇,backhand index pointing down,1
1206,🇪🇸,flag: Spain,1
1207,🤔,thinking face,1
1207,📈,chart increasing,1
1207,📊,bar chart,2
1207,👇,backhand index pointing down,1
1207,🏎️,racing car,3
1207,👉,backhand index pointing right,1
1207,👈,backhand index pointing left,1
1208,✈,airplane,1
1208,🔥,fire,2
1208,👇,backhand index pointing down,1
